#
# Linux system call numbers and entry vectors
#
# The format is:
# <number> <abi> <name> <entry point> <comment>
#
# The abi is always common for this file.
#
0       common  restart_syscall         sys_restart_syscall				/* ok */
123     common  modify_ldt              sys_ni_syscall					/* remove */
124     common  adjtimex                sys_adjtimex					/* ok */
125     common  mprotect                sys_mprotect					/* remove */
126     common  sigprocmask             sys_sigprocmask					/* obsolete -> sys_rt_sigprocmask */
127     common  create_module           sys_ni_syscall					/* remove */
128     common  init_module             sys_init_module					/* ok */
129     common  delete_module           sys_delete_module				/* ok */
130     common  get_kernel_syms         sys_ni_syscall					/* remove */
131     common  quotactl                sys_quotactl					/* ok */
132     common  getpgid                 sys_getpgid					/* ok */
133     common  fchdir                  sys_fchdir					/* ok */
134     common  bdflush                 sys_bdflush					/* remove */
135     common  sysfs                   sys_sysfs					/* needed for busybox */
136     common  personality             sys_personality					/* ok */
137     common  afs_syscall             sys_ni_syscall					/* Syscall for Andrew File System */
138     common  setfsuid                sys_setfsuid					/* ok */
139     common  setfsgid                sys_setfsgid					/* ok */
140     common  _llseek                 sys_llseek					/* remove only lseek */
141     common  getdents                sys_getdents					/* ok or getdents64 */
142     common  _newselect              sys_select					/* remove */
143     common  flock                   sys_flock					/* ok */
144     common  msync                   sys_msync					/* remove */
145     common  readv                   sys_readv					/* ok */
146     common  writev                  sys_writev					/* ok */
147     common  getsid                  sys_getsid					/* ok */
148     common  fdatasync               sys_fdatasync					/* ok */
149     common  _sysctl                 sys_sysctl 					/* remove */
150     common  mlock                   sys_mlock					/* ok - nommu or mmu */
151     common  munlock                 sys_munlock					/* ok - nommu or mmu */
152     common  mlockall                sys_mlockall					/* ok - nommu or mmu */
153     common  munlockall              sys_munlockall					/* ok - nommu or mmu */	
154     common  sched_setparam          sys_sched_setparam				/* ok */
155     common  sched_getparam          sys_sched_getparam				/* ok */
156     common  sched_setscheduler      sys_sched_setscheduler				/* ok */
157     common  sched_getscheduler      sys_sched_getscheduler				/* ok */
158     common  sched_yield             sys_sched_yield					/* ok */
159     common  sched_get_priority_max  sys_sched_get_priority_max			/* ok */
160     common  sched_get_priority_min  sys_sched_get_priority_min			/* ok */
161     common  sched_rr_get_interval   sys_sched_rr_get_interval			/* ok */
162     common  nanosleep               sys_nanosleep					/* ok */
163     common  mremap                  sys_mremap					/* ok - nommu or mmu */
164     common  setresuid               sys_setresuid					/* ok */
165     common  getresuid               sys_getresuid					/* ok */
166     common  vm86                    sys_ni_syscall					/* remove */
167     common  query_module            sys_ni_syscall					/* ok */
168     common  poll                    sys_poll					/* obsolete -> sys_ppoll */
169     common  nfsservctl              sys_ni_syscall					/* ok */
170     common  setresgid               sys_setresgid					/* ok */
171     common  getresgid               sys_getresgid					/* ok */
172     common  prctl                   sys_prctl					/* ok */
173     common  rt_sigreturn            sys_rt_sigreturn_wrapper			/* ok */
